Date,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Rec_prob,NBER_Rec,Year,CCI Value
1995-12-31,5.71,5.14,5.279990633863424,0.43000936613657625,0.03352113048728498,0.0,1995,100.84273333333334
1996-01-31,5.65,5.0,5.134336756224505,0.5156632437754958,0.040952244233087985,0.0,1996,100.89476666666667
1996-02-29,5.81,4.83,4.957611640116118,0.8523883598838813,0.06630853418137396,0.0,1996,100.96063333333332
1996-03-31,6.27,4.96,5.092740538034646,1.1772594619653525,0.08701217192942946,0.0,1996,101.03320000000001
1996-04-30,6.51,4.95,5.082342814466005,1.4276571855339937,0.09281486465556504,0.0,1996,101.02513333333333
1996-05-31,6.74,5.02,5.155138060241092,1.584861939758908,0.14958440653705465,0.0,1996,100.98386666666666
1996-06-30,6.91,5.09,5.227959403221616,1.6820405967783838,0.18967674821855876,0.0,1996,101.0018
1996-07-31,6.87,5.15,5.2903984790895935,1.5796015209104066,0.1631214595925023,0.0,1996,101.05323333333332
1996-08-31,6.64,5.05,5.186344010838355,1.4536559891616443,0.12969504384975422,0.0,1996,101.09253333333334
1996-09-30,6.83,5.09,5.227959403221616,1.6020405967783835,0.15305917053691775,0.0,1996,101.12416666666667
1996-10-31,6.53,4.99,5.1239369030079684,1.4060630969920311,0.17823276208303496,0.0,1996,101.1592
1996-11-30,6.2,5.03,5.165539511122954,1.0344604888770474,0.21193122442174175,0.0,1996,101.1404
1996-12-31,6.3,4.91,5.040757242880315,1.2592427571196847,0.21026677739073613,0.0,1996,100.9903
1997-01-31,6.58,5.03,5.165539511122954,1.4144604888770471,0.1949731280325193,0.0,1997,100.77046666666666
1997-02-28,6.42,5.01,5.144737141955245,1.275262858044755,0.14166655668978367,0.0,1997,100.66142666666667
1997-03-31,6.69,5.14,5.279990633863424,1.410009366136577,0.10053566927747133,0.0,1997,100.65834666666667
1997-04-30,6.89,5.16,5.300806857443927,1.5891931425560726,0.07535800249727816,0.0,1997,100.74610333333334
1997-05-31,6.71,5.05,5.186344010838355,1.5236559891616448,0.06220574133580575,0.0,1997,100.89386666666667
1997-06-30,6.49,4.93,5.061548964217131,1.4284510357828692,0.055017961431524584,0.0,1997,101.05013333333333
1997-07-31,6.22,5.05,5.186344010838355,1.0336559891616446,0.06261479926618478,0.0,1997,101.1629
1997-08-31,6.3,5.14,5.279990633863424,1.020009366136576,0.07304745058270246,0.0,1997,101.18316666666665
1997-09-30,6.21,4.95,5.082342814466005,1.1276571855339936,0.060884410993707484,0.0,1997,101.16963333333335
1997-10-31,6.03,4.97,5.103138793953932,0.9268612060460688,0.07731910673429555,0.0,1997,101.13286666666666
1997-11-30,5.88,5.14,5.279990633863424,0.6000093661365762,0.11739435025068072,0.0,1997,101.10726666666666
1997-12-31,5.81,5.16,5.300806857443927,0.5091931425560725,0.0916931477552224,0.0,1997,101.10239999999999
1998-01-31,5.54,5.04,5.175941494641736,0.3640585053582637,0.07655192602121498,0.0,1998,101.17156666666666
1998-02-28,5.57,5.09,5.227959403221616,0.34204059677838394,0.0900346988414153,0.0,1998,101.1358
1998-03-31,5.65,5.03,5.165539511122954,0.4844604888770476,0.07695785364115755,0.0,1998,100.95961666666666
1998-04-30,5.64,4.95,5.082342814466005,0.5576571855339933,0.061870507875631565,0.0,1998,100.79212333333332
1998-05-31,5.65,5.0,5.134336756224505,0.5156632437754958,0.06709595772526998,0.0,1998,100.58640333333334
1998-06-30,5.5,4.98,5.113537582264742,0.3864624177352578,0.07528663690733135,0.0,1998,100.37238
1998-07-31,5.46,4.96,5.092740538034646,0.3672594619653529,0.1174946830732242,0.0,1998,100.21031333333333
1998-08-31,5.34,4.9,5.030362180451763,0.3096378195482368,0.11920587156167947,0.0,1998,100.14735
1998-09-30,4.81,4.61,4.7291366701245545,0.08086332987544509,0.10617913359006972,0.0,1998,100.11335000000001
1998-10-31,4.53,3.96,4.055596521176982,0.4744034788230183,0.13135621127656644,0.0,1998,100.14205666666665
1998-11-30,4.83,4.41,4.521655150793472,0.30834484920652905,0.18059341624484848,0.0,1998,100.25245999999999
1998-12-31,4.65,4.39,4.500918666614607,0.14908133338539376,0.19610420675253065,0.0,1998,100.39990666666665
1999-01-31,4.72,4.34,4.449086730930942,0.2709132690690588,0.22250840703981148,0.0,1999,100.59421333333334
1999-02-28,5.0,4.44,4.552763852976574,0.4472361470234256,0.2266840612336473,0.0,1999,100.73190333333334
1999-03-31,5.23,4.44,4.552763852976574,0.677236147023426,0.2004644289215564,0.0,1999,100.75281
1999-04-30,5.18,4.29,4.397268040846277,0.7827319591537227,0.18772875303004385,0.0,1999,100.7634
1999-05-31,5.54,4.5,4.614995574661778,0.925004425338222,0.1949731280325193,0.0,1999,100.82247333333333
1999-06-30,5.9,4.57,4.687623387167258,1.212376612832743,0.2183049312235566,0.0,1999,100.87607333333334
1999-07-31,5.79,4.55,4.666869930407928,1.1231300695920725,0.22190502475946974,0.0,1999,100.88915666666666
1999-08-31,5.94,4.72,4.84334200719248,1.0966579928075202,0.23290885993054464,0.0,1999,100.92784666666667
1999-09-30,5.92,4.68,4.801805357377778,1.1181946426222211,0.2794465267651733,0.0,1999,100.97839666666668
1999-10-31,6.11,4.86,4.988787251383243,1.1212127486167571,0.2022539450350629,0.0,1999,101.02030666666667
1999-11-30,6.03,5.07,5.207150641428778,0.8228493585712222,0.23315920309081434,0.0,1999,101.13439333333332
1999-12-31,6.28,5.2,5.342445702962271,0.9375542970377292,0.26511056761697743,0.0,1999,101.27885666666667
2000-01-31,6.66,5.32,5.467413449983502,1.1925865500164994,0.2404710578236439,0.0,2000,101.427
2000-02-29,6.52,5.55,5.707149890336512,0.8128501096634873,0.20713556078993947,0.0,2000,101.48415333333332
2000-03-31,6.26,5.69,5.8532148927589365,0.4067851072410633,0.16802719276510092,0.0,2000,101.47866666666668
2000-04-30,5.99,5.66,5.821906420019309,0.16809357998068994,0.15179404102162905,0.0,2000,101.50056666666667
2000-05-31,6.44,5.79,5.957611272313027,0.4823887276869732,0.13160680439696906,0.0,2000,101.52069999999999
2000-06-30,6.1,5.69,5.8532148927589365,0.2467851072410632,0.09667469225901516,0.0,2000,101.5027
2000-07-31,6.05,5.96,6.135208096195912,-0.0852080961959123,0.1067053776475937,0.0,2000,101.51513333333332
2000-08-31,5.83,6.09,6.271122031066578,-0.4411220310665769,0.10982027023788768,0.0,2000,101.5202
2000-09-30,5.8,6.0,6.177018107970892,-0.3770181079708914,0.10728122661233737,0.0,2000,101.50316666666667
2000-10-31,5.74,6.11,6.292039919884867,-0.5520399198848658,0.1069288186530592,0.0,2000,101.46106666666667
2000-11-30,5.72,6.17,6.354806477582453,-0.634806477582452,0.14590400093755426,0.0,2000,101.35563333333334
2000-12-31,5.24,5.77,5.936727711654399,-0.6967277116543986,0.12991947337715984,0.0,2000,101.13103333333333
2001-01-31,5.16,5.15,5.2903984790895935,-0.13039847908959334,0.09883690817396347,0.0,2001,100.90620000000001
2001-02-28,5.1,4.88,5.009573651870069,0.090426348129931,0.14735751983292555,0.0,2001,100.74046666666668
