Date,CCI Value,Spread,Value of Copper,NBER_Rec
1995-01-31,101.0651,1.9059101154186864,3043.671523809524,0.0
1995-02-28,101.15253333333334,1.533272288345601,2914.0824000000002,0.0
1995-03-31,101.16966666666669,1.3050329818817383,2978.226869565218,0.0
1995-04-30,101.20373333333332,1.24852866706025,2928.9188,0.0
1995-05-31,101.2245,0.7976579576784255,2777.240363636364,0.0
1995-06-30,101.25763333333332,0.5462687583287016,3018.6585090909093,0.0
1995-07-31,101.2416,0.7083880430723362,2997.15,0.0
1995-08-31,101.1397,0.9392320170324939,3034.6013565217386,0.0
1995-09-30,100.95706666666668,0.774251003391937,2881.8953000000006,0.0
1995-10-31,100.84256666666666,0.6142510033919368,2770.0773636363633,0.0
1995-11-30,100.80363333333332,0.4209135554389132,2905.50014,0.0
1995-12-31,100.84273333333334,0.43000936613657625,2817.1748400000006,0.0
1996-01-31,100.89476666666668,0.5156632437754958,2519.3819047619045,0.0
1996-02-29,100.96063333333332,0.8523883598838813,2543.8347600000006,0.0
1996-03-31,101.0332,1.1772594619653525,2581.408761904762,0.0
1996-04-30,101.02513333333332,1.4276571855339937,2607.9827047619046,0.0
1996-05-31,100.98386666666666,1.584861939758908,2624.162545454545,0.0
1996-06-30,101.0018,1.6820405967783838,2163.9863800000003,0.0
1996-07-31,101.05323333333332,1.5796015209104066,1983.3376190476192,0.0
1996-08-31,101.09253333333334,1.4536559891616443,2021.3986000000002,0.0
1996-09-30,101.12416666666668,1.6020405967783835,1971.7534999999996,0.0
1996-10-31,101.1592,1.4060630969920311,2013.6893913043477,0.0
1996-11-30,101.1404,1.0344604888770474,2202.9792,0.0
1996-12-31,100.9903,1.2592427571196847,2238.8336952380955,0.0
1997-01-31,100.77046666666666,1.4144604888770471,2317.506,0.0
1997-02-28,100.66142666666669,1.275262858044755,2408.5544,0.0
1997-03-31,100.65834666666667,1.410009366136577,2445.338,0.0
1997-04-30,100.74610333333334,1.5891931425560726,2392.512127272728,0.0
1997-05-31,100.89386666666668,1.5236559891616448,2530.9266666666663,0.0
1997-06-30,101.05013333333332,1.4284510357828692,2588.9758285714292,0.0
1997-07-31,101.1629,1.0336559891616446,2367.396545454546,0.0
1997-08-31,101.18316666666664,1.020009366136576,2253.0967238095236,0.0
