,Date,Value of Copper in Dollars per Tonne
765,1962-07-20,624.6136
766,1962-07-23,621.9688
767,1962-07-24,625.9359999999999
768,1962-07-25,628.14
769,1962-07-26,626.8176
770,1962-07-27,626.3768
771,1962-07-30,625.4952
772,1962-07-31,624.6136
773,1962-08-01,622.63
774,1962-08-02,622.63
775,1962-08-03,622.63
776,1962-08-06,623.9524
777,1962-08-07,624.6136
778,1962-08-08,629.6828
779,1962-08-09,631.6664000000001
780,1962-08-10,631.0052
781,1962-08-13,633.8704
782,1962-08-14,632.9888
783,1962-08-15,637.1764000000001
784,1962-08-16,640.0416
785,1962-08-17,645.1108
786,1962-08-20,647.0944000000001
787,1962-08-21,646.2128
788,1962-08-22,644.0088000000001
789,1962-08-23,645.7719999999999
790,1962-08-24,644.2292
791,1962-08-27,644.4496
792,1962-08-28,642.0252
793,1962-08-29,639.3804
794,1962-08-30,640.262
795,1962-08-31,636.9559999999999
796,1962-09-04,634.752
797,1962-09-05,632.548
798,1962-09-06,632.7684
799,1962-09-07,631.6664000000001
800,1962-09-10,633.2092
801,1962-09-11,633.65
802,1962-09-12,634.752
803,1962-09-13,633.4295999999999
804,1962-09-14,633.8704
805,1962-09-17,634.3112
806,1962-09-18,634.3112
807,1962-09-19,634.9724000000001
808,1962-09-20,629.4624
809,1962-09-21,627.0379999999999
810,1962-09-24,623.2912
811,1962-09-25,623.9524
812,1962-09-26,622.4096
813,1962-09-27,621.0871999999999
814,1962-09-28,621.0871999999999
815,1962-10-01,623.2912
816,1962-10-02,622.63
817,1962-10-03,622.8504
818,1962-10-04,624.1728
819,1962-10-05,624.3932
820,1962-10-08,621.5279999999999
821,1962-10-09,622.1892
822,1962-10-10,621.9688
823,1962-10-11,621.7484000000001
824,1962-10-12,618.0015999999999
825,1962-10-15,619.1035999999999
826,1962-10-16,617.12
827,1962-10-17,618.4424
828,1962-10-18,621.0871999999999
829,1962-10-19,621.9688
830,1962-10-22,625.9359999999999
